Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,Material,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ ?,Module [TRUE/FALSE],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Stability. (H)
29/05/2015 00:00,SLG ,FTO , CrOx ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.09,pin,FALSE,1.6,32
20/08/2018 00:00,SLG ,FTO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.06,pin,FALSE,1.6,122.2222222
25/06/2015 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.07,nip,FALSE,1.6,37.33333333
05/06/2014 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Al,1.3,pin,FALSE,1.54,9.333333333
23/08/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Al,0.06,pin,FALSE,1.6,53.33333333
17/03/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , P3HT ,Blank,Blank,Blank,Au,0.15,nip-mp,FALSE,1.67,1.111111111
17/09/2019,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.48,111.1111111
07/02/2018 00:00,SLG ,ITO ," TiO2-(c, np, nw) ", C60; C60-SAM,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.08,nip,FALSE,1.56,3.333333333
14/06/2019 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.48,88.88888889
31/12/2019 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.15,nip,FALSE,1.6,15.55555556
09/12/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.04,nip,FALSE,1.6,26.66666667
30/10/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.15,nip,FALSE,1.6,43.55555556
